Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/10/2018 06:12:59 PM,100018080,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999819232682731,1.111312E7,1.6345995926561397E7,4.4944665E7,6.0,1.00018074E8,1.250225925E7,1.689714133483266E7,4.4944665E7,499.0,0,0,0,0,0,0,0,0,0,0,0,0.0899837309414458,0.00999819232682731,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,752.25,866.8992155954462,2005.0,6.0,2.5003643E7,1.5793637221003843E7,4.4944665E7,1.0025289E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/10/2018 06:15:04 PM,89787652,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122511278054136,8978765.200000001,1.3294772371692022E7,3.3996152E7,248.0,8.9787396E7,9976377.333333334,1.3698485566679899E7,3.3996152E7,248.0,0,0,0,0,0,0,0,0,0,0,0,0.11137388914012364,0.011137388914012364,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,1,0,-1,-1,0,0,1184.25,1546.9066713929449,3498.0,248.0,2.244572875E7,1.1279746333004992E7,3.3996152E7,1.0795614E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/10/2018 06:17:16 PM,88076611,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11353752019364143,9786290.111111112,1.3110304727894602E7,3.3694318E7,250.0,8.8076361E7,1.1009545125E7,1.345523433345729E7,3.3694318E7,257.0,0,0,0,0,0,0,0,0,0,0,0,0.10218376817427728,0.011353752019364142,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,687.25,713.2902050825222,1743.0,250.0,2.2018341E7,9962506.754205957,3.3694318E7,1.1983178E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/10/2018 06:19:29 PM,102606549,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11695159925902975,9327868.090909092,1.343257014350686E7,3.8465004E7,7.0,1.02606299E8,1.02606299E7,1.3778544115268005E7,3.8465004E7,7.0,0,0,0,0,0,0,0,0,0,0,0,0.10720563265411061,0.009745966604919146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,1,0,-1,-1,0,0,300.6,206.30996098104424,500.0,7.0,2.05209594E7,1.2805183391613523E7,3.8465004E7,6572258.0,No Label
192.168.100.1-192.168.100.103-53-34031-17,192.168.100.103,34031,192.168.100.1,53,17,02/10/2018 06:15:09 PM,5005153,1,1,39.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,39.0,0.0,15.583939192268447,0.3995881844171397,5005153.0,0.0,5005153.0,5005153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.19979409220856986,0.19979409220856986,39.0,39.0,39.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,58.5,39.0,39.0,0,0,0,0,0,0,1,39,1,39,-1,-1,1,0,0,0,0,0,5005153.0,0.0,5005153.0,5005153.0,No Label
192.168.100.103-66.85.157.90-38092-443-6,192.168.100.103,38092,66.85.157.90,443,6,02/10/2018 06:21:46 PM,115347528,31,30,3076.0,3076.0,1579.0,0.0,99.22580645161291,379.5168603788611,1460.0,0.0,102.53333333333335,369.6847429843464,53.3344763140481,0.528836647457239,1922458.8,2437175.0249835188,5368435.0,5.0,1.14322115E8,3810737.166666666,2176595.8439577646,5368930.0,250.0,1.15347042E8,3977484.2068965524,2062464.9550405936,5368935.0,5.0,0,0,0,0,672,632,0.26875305034712144,0.2600835971101175,0.0,1579.0,99.22580645161293,368.7485001627665,135975.4563722898,0,1,0,0,0,0,0,0,0.0,100.85245901639344,99.2258064516129,102.53333333333333,0,0,0,0,0,0,31,3076,30,3076,-1,162,3,0,323833.9523809524,1069702.0760911647,4402481.0,482.0,5168882.333333333,63132.585592016985,5368435.0,5008633.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/10/2018 06:21:45 PM,97035509,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12366606950039288,8821409.90909091,1.5010641518022155E7,4.0579287E7,7.0,9.7035502E7,9703550.200000001,1.5519144892009767E7,4.0579287E7,8.0,0,0,0,0,0,0,0,0,0,0,0,0.11336056370869348,0.010305505791699407,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,1,0,-1,-1,0,0,301.8,268.65907764302324,499.0,7.0,1.9406798E7,1.7507602239054166E7,4.0579287E7,5198780.0,No Label
192.168.100.103-66.85.157.90-38092-443-6,192.168.100.103,38092,66.85.157.90,443,6,02/10/2018 06:23:47 PM,115513466,24,25,37.0,37.0,37.0,0.0,1.5416666666666667,7.552593373581465,37.0,0.0,1.48,7.3999999999999995,0.6406179518498736,0.4241929681168082,2406530.541666668,2579206.1648477325,5287993.0,483.0,1.15512982E8,5022303.565217391,751948.3518447154,5288478.0,1577850.0,1.15512983E8,4813040.958333332,1229881.4898460913,5288479.0,183137.0,0,0,0,0,480,500,0.20776798438374278,0.21642498373306537,0.0,37.0,1.4800000000000004,7.324100557719825,53.64244897959185,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,162,1,0,321450.2380952381,1470765.242807053,6740396.0,483.0,5179168.0,42160.676528015996,5287993.0,5151306.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/10/2018 06:23:57 PM,89479359,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11175761775405656,9942151.0,1.194228225608215E7,2.6343456E7,13.0,8.9479104E7,1.1184888E7,1.2128763838715374E7,2.6343456E7,13.0,0,0,0,0,0,0,0,0,0,0,0,0.1005818559786509,0.011175761775405656,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,251.75,194.75005348736963,490.0,13.0,2.236946325E7,3108622.2802600055,2.6343456E7,1.9653774E7,No Label
192.168.100.103-66.85.157.90-38092-443-6,192.168.100.103,38092,66.85.157.90,443,6,02/10/2018 06:25:47 PM,115620211,24,25,37.0,37.0,37.0,0.0,1.5416666666666667,7.552593373581466,37.0,0.0,1.48,7.400000000000001,0.6400265088601161,0.4238013369479148,2408754.395833334,2567065.705428553,5277488.0,490.0,1.15619713E8,5026944.043478261,703511.9266431987,5277987.0,1803221.0,1.15619716E8,4817488.166666667,1167435.5006584032,5277985.0,395268.0,0,0,0,0,480,500,0.20757616503571336,0.21622517191220142,0.0,37.0,1.4800000000000004,7.3241005577198255,53.642448979591855,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,162,1,0,331831.6666666666,1518136.835673199,6957524.0,490.0,5173869.095238095,34134.412398494154,5277488.0,5151309.0,No Label
