Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.135-192.168.10.100-56917-1883-6,192.168.10.135,56917,192.168.10.100,1883,6,15/03/2019 02:13:43 PM,60082028,3,3,2.0,6.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,2.0,2.0,0.0,0.1331512977557948,0.0998634733168461,1.20164056E7,2.6868538258885723E7,6.0080308E7,163.0,6.0081394E7,3.0040697E7,4.2482425284612015E7,6.0080308E7,1086.0,6.0081787E7,3.00408935E7,4.248357291891788E7,6.0081316E7,471.0,0,1,0,0,96,96,0.04993173665842305,0.04993173665842305,0.0,2.0,1.4285714285714286,0.9759000729485332,0.9523809523809524,0,0,0,1,1,0,0,0,1.0,1.6666666666666667,0.6666666666666666,2.0,0,0,0,0,0,0,3,2,3,6,-1,227,1,0,634.0,0.0,634.0,634.0,6.0080308E7,0.0,6.0080308E7,6.0080308E7,No Label
192.168.10.142-192.168.10.100-37477-1883-6,192.168.10.142,37477,192.168.10.100,1883,6,15/03/2019 02:13:44 PM,60081589,3,3,2.0,6.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,2.0,2.0,0.0,0.13315227065649013,0.09986420299236759,1.20163178E7,2.6868254725503456E7,6.0079713E7,185.0,6.0080765E7,3.00403825E7,4.248202859770776E7,6.0079713E7,1052.0,6.0081357E7,3.00406785E7,4.248303127512349E7,6.0080718E7,639.0,0,1,0,0,96,96,0.049932101496183795,0.049932101496183795,0.0,2.0,1.4285714285714286,0.9759000729485332,0.9523809523809524,0,0,0,1,1,0,0,0,1.0,1.6666666666666667,0.6666666666666666,2.0,0,0,0,0,0,0,3,2,3,6,-1,227,1,0,824.0,0.0,824.0,824.0,6.0079713E7,0.0,6.0079713E7,6.0079713E7,No Label
192.168.10.145-192.168.10.100-43077-1883-6,192.168.10.145,43077,192.168.10.100,1883,6,15/03/2019 02:13:44 PM,60081727,3,3,2.0,6.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,2.0,2.0,0.0,0.13315196482284872,0.09986397361713653,1.20163454E7,2.6868209669838496E7,6.007966E7,124.0,6.0080682E7,3.0040341E7,4.24820123342518E7,6.007966E7,1022.0,6.0081539E7,3.00407695E7,4.2482761160333075E7,6.0080618E7,921.0,0,1,0,0,96,96,0.049931986808568266,0.049931986808568266,0.0,2.0,1.4285714285714286,0.9759000729485332,0.9523809523809524,0,0,0,1,1,0,0,0,1.0,1.6666666666666667,0.6666666666666666,2.0,0,0,0,0,0,0,3,2,3,6,-1,227,1,0,1045.0,0.0,1045.0,1045.0,6.007966E7,0.0,6.007966E7,6.007966E7,No Label
192.168.10.135-192.168.10.100-56917-1883-6,192.168.10.135,56917,192.168.10.100,1883,6,15/03/2019 02:15:43 PM,60081599,3,3,2.0,6.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,2.0,2.0,0.0,0.13315224849458485,0.09986418637093863,1.20163198E7,2.6868265346943237E7,6.0079734E7,195.0,6.008081E7,3.0040405E7,4.2482026476387426E7,6.0079734E7,1076.0,6.0081388E7,3.0040694E7,4.248311683504401E7,6.0080794E7,594.0,0,1,0,0,96,96,0.04993209318546932,0.04993209318546932,0.0,2.0,1.4285714285714286,0.9759000729485332,0.9523809523809524,0,0,0,1,1,0,0,0,1.0,1.6666666666666667,0.6666666666666666,2.0,0,0,0,0,0,0,3,2,3,6,-1,227,1,0,789.0,0.0,789.0,789.0,6.0079734E7,0.0,6.0079734E7,6.0079734E7,No Label
192.168.10.142-192.168.10.100-37477-1883-6,192.168.10.142,37477,192.168.10.100,1883,6,15/03/2019 02:15:44 PM,60082068,3,3,2.0,6.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,2.0,2.0,0.0,0.13315120910951334,0.099863406832135,1.20164136E7,2.6868364963715013E7,6.0080006E7,190.0,6.0080973E7,3.00404865E7,4.248229588407105E7,6.0080006E7,967.0,6.0081878E7,3.0040939E7,4.248317481780007E7,6.008108E7,798.0,0,1,0,0,96,96,0.0499317034160675,0.0499317034160675,0.0,2.0,1.4285714285714286,0.9759000729485332,0.9523809523809524,0,0,0,1,1,0,0,0,1.0,1.6666666666666667,0.6666666666666666,2.0,0,0,0,0,0,0,3,2,3,6,-1,227,1,0,1095.0,0.0,1095.0,1095.0,6.0080006E7,0.0,6.0080006E7,6.0080006E7,No Label
192.168.10.145-192.168.10.100-43077-1883-6,192.168.10.145,43077,192.168.10.100,1883,6,15/03/2019 02:15:44 PM,60081261,3,3,2.0,6.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,2.0,2.0,0.0,0.13315299757107296,0.09986474817830472,1.20162522E7,2.68679967958608E7,6.0079186E7,128.0,6.0080272E7,3.0040136E7,4.248163191080352E7,6.0079186E7,1086.0,6.0081133E7,3.00405665E7,4.248273994712964E7,6.00804E7,733.0,0,1,0,0,96,96,0.04993237408915236,0.04993237408915236,0.0,2.0,1.4285714285714286,0.9759000729485332,0.9523809523809524,0,0,0,1,1,0,0,0,1.0,1.6666666666666667,0.6666666666666666,2.0,0,0,0,0,0,0,3,2,3,6,-1,227,1,0,989.0,0.0,989.0,989.0,6.0079186E7,0.0,6.0079186E7,6.0079186E7,No Label
192.168.10.135-192.168.10.100-56917-1883-6,192.168.10.135,56917,192.168.10.100,1883,6,15/03/2019 02:17:43 PM,60081482,3,3,2.0,6.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,2.0,2.0,0.0,0.1331525077893385,0.09986438084200386,1.20162964E7,2.6868269483370423E7,6.0079718E7,233.0,6.0080393E7,3.00401965E7,4.248229871249818E7,6.0079718E7,675.0,6.0081225E7,3.00406125E7,4.2482631052685335E7,6.0080369E7,856.0,0,1,0,0,96,96,0.04993219042100193,0.04993219042100193,0.0,2.0,1.4285714285714286,0.9759000729485332,0.9523809523809524,0,0,0,1,1,0,0,0,1.0,1.6666666666666667,0.6666666666666666,2.0,0,0,0,0,0,0,3,2,3,6,-1,227,1,0,1089.0,0.0,1089.0,1089.0,6.0079718E7,0.0,6.0079718E7,6.0079718E7,No Label
192.168.10.142-192.168.10.100-37477-1883-6,192.168.10.142,37477,192.168.10.100,1883,6,15/03/2019 02:17:44 PM,60080536,3,3,2.0,6.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,2.0,2.0,0.0,0.13315460434640597,0.09986595325980446,1.20161072E7,2.686783747482379E7,6.0078756E7,225.0,6.0079492E7,3.0039746E7,4.2481575342261024E7,6.0078756E7,736.0,6.0080311E7,3.00401555E7,4.24820837520367E7,6.0079525E7,786.0,0,1,0,0,96,96,0.04993297662990223,0.04993297662990223,0.0,2.0,1.4285714285714286,0.9759000729485332,0.9523809523809524,0,0,0,1,1,0,0,0,1.0,1.6666666666666667,0.6666666666666666,2.0,0,0,0,0,0,0,3,2,3,6,-1,227,1,0,1044.0,0.0,1044.0,1044.0,6.0078756E7,0.0,6.0078756E7,6.0078756E7,No Label
192.168.10.145-192.168.10.100-43077-1883-6,192.168.10.145,43077,192.168.10.100,1883,6,15/03/2019 02:17:44 PM,60082349,3,3,2.0,6.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,2.0,2.0,0.0,0.1331505863727132,0.09986293977953492,1.20164698E7,2.686851075584556E7,6.0080323E7,190.0,6.0081248E7,3.0040624E7,4.24825497354055E7,6.0080323E7,925.0,6.0082159E7,3.00410795E7,4.248322077974085E7,6.0081253E7,906.0,0,1,0,0,96,96,0.04993146988976746,0.04993146988976746,0.0,2.0,1.4285714285714286,0.9759000729485332,0.9523809523809524,0,0,0,1,1,0,0,0,1.0,1.6666666666666667,0.6666666666666666,2.0,0,0,0,0,0,0,3,2,3,6,-1,227,1,0,1101.0,0.0,1101.0,1101.0,6.0080323E7,0.0,6.0080323E7,6.0080323E7,No Label
192.168.10.135-192.168.10.100-56917-1883-6,192.168.10.135,56917,192.168.10.100,1883,6,15/03/2019 02:19:44 PM,60082428,3,3,2.0,6.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,2.0,2.0,0.0,0.13315041129829175,0.09986280847371881,1.20164856E7,2.6868783108195785E7,6.0080826E7,148.0,6.0081764E7,3.0040882E7,4.248289621772828E7,6.0080826E7,938.0,6.008228E7,3.004114E7,4.2483952635259375E7,6.0081831E7,449.0,0,1,0,0,96,96,0.049931404236859406,0.049931404236859406,0.0,2.0,1.4285714285714286,0.9759000729485332,0.9523809523809524,0,0,0,1,1,0,0,0,1.0,1.6666666666666667,0.6666666666666666,2.0,0,0,0,0,0,0,3,2,3,6,-1,227,1,0,664.0,0.0,664.0,664.0,6.0080826E7,0.0,6.0080826E7,6.0080826E7,No Label
192.168.10.142-192.168.10.100-37477-1883-6,192.168.10.142,37477,192.168.10.100,1883,6,15/03/2019 02:19:44 PM,60088234,3,3,2.0,6.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,2.0,2.0,0.0,0.13313754569655017,0.09985315927241263,1.20176468E7,2.6871279007360455E7,6.0086452E7,191.0,6.0087479E7,3.00437395E7,4.248681146797571E7,6.0086452E7,1027.0,6.0088043E7,3.00440215E7,4.248791738298149E7,6.0087516E7,527.0,0,1,0,0,96,96,0.049926579636206316,0.049926579636206316,0.0,2.0,1.4285714285714286,0.9759000729485332,0.9523809523809524,0,0,0,1,1,0,0,0,1.0,1.6666666666666667,0.6666666666666666,2.0,0,0,0,0,0,0,3,2,3,6,-1,227,1,0,755.0,0.0,755.0,755.0,6.0086452E7,0.0,6.0086452E7,6.0086452E7,No Label
192.168.10.145-192.168.10.100-43077-1883-6,192.168.10.145,43077,192.168.10.100,1883,6,15/03/2019 02:19:44 PM,60082691,3,3,2.0,6.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,2.0,2.0,0.0,0.13314982845891507,0.09986237134418631,1.20165382E7,2.6868672646904774E7,6.0080681E7,194.0,6.0081772E7,3.0040886E7,4.2482685499907486E7,6.0080681E7,1091.0,6.0082497E7,3.00412485E7,4.248377797988442E7,6.0081816E7,681.0,0,1,0,0,96,96,0.049931185672093155,0.049931185672093155,0.0,2.0,1.4285714285714286,0.9759000729485332,0.9523809523809524,0,0,0,1,1,0,0,0,1.0,1.6666666666666667,0.6666666666666666,2.0,0,0,0,0,0,0,3,2,3,6,-1,227,1,0,919.0,0.0,919.0,919.0,6.0080681E7,0.0,6.0080681E7,6.0080681E7,No Label
