Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.155-192.168.10.109-23-55832-6,192.168.10.109,55832,192.168.10.155,23,6,16/03/2019 06:35:41 PM,35535390,140,87,183.0,1140.0,83.0,0.0,1.307142857142857,7.333667733507443,293.0,0.0,13.103448275862071,37.8995104842777,37.23049050538069,6.38799799298671,157236.23893805308,742211.2638374395,9814337.0,123.0,3.5521932E7,255553.46762589927,934359.3786370679,9814337.0,123.0,3.553539E7,413202.20930232556,1164349.7381003408,9819546.0,274.0,0,0,0,0,4480,2800,3.93973444501383,2.44826354797288,0.0,293.0,5.802631578947367,24.70122064624194,610.150301414329,0,1,0,0,0,0,0,0,0.0,5.828193832599119,1.3071428571428572,13.10344827586207,0,0,0,0,0,0,140,183,87,1140,-1,227,65,0,2.0248207E7,0.0,2.0248207E7,2.0248207E7,9814337.0,0.0,9814337.0,9814337.0,No Label
192.168.10.165-192.168.10.109-23-47748-6,192.168.10.109,47748,192.168.10.165,23,6,16/03/2019 06:36:34 PM,20127717,92,64,182.0,1140.0,83.0,0.0,1.9782608695652173,9.349123789078147,293.0,0.0,17.812499999999993,43.03076603311665,65.68057370838432,7.750506428523414,129856.2387096774,515470.2775932287,4435561.0,33.0,2.0116822E7,221063.97802197802,659151.7530328401,4435561.0,120.0,2.0127717E7,319487.57142857136,776255.5680847252,4446994.0,283.0,0,0,0,0,2944,2064,4.570811483488167,3.1796949450352465,0.0,293.0,8.420382165605096,29.32381708732617,859.8862485709623,0,1,0,0,0,0,0,0,0.0,8.474358974358974,1.9782608695652173,17.8125,0,0,0,0,0,0,92,182,64,1140,-1,227,40,0,0,0,0,0,0,0,0,0,No Label
192.168.10.165-192.168.10.109-23-47760-6,192.168.10.109,47760,192.168.10.165,23,6,16/03/2019 06:40:48 PM,29157316,76,54,175.0,1377.0,83.0,0.0,2.302631578947367,9.917015326319513,293.0,0.0,25.499999999999996,46.36025868031434,53.22849332222486,4.458572249928628,226025.7054263565,1043157.4027697219,1.0732186E7,122.0,2.9153246E7,388709.94666666666,1348557.5807373847,1.0732186E7,352.0,2.9156289E7,550118.6603773587,1581703.897960956,1.0733817E7,455.0,0,0,0,0,2432,1744,2.606549930727506,1.8520223192011225,0.0,293.0,11.847328244274813,32.630441964625774,1064.7457428068105,0,1,0,0,0,0,0,0,0.0,11.938461538461539,2.3026315789473686,25.5,0,0,0,0,0,0,76,175,54,1377,-1,227,33,0,1.8151107E7,0.0,1.8151107E7,1.8151107E7,1.0732186E7,0.0,1.0732186E7,1.0732186E7,No Label
192.168.10.165-192.168.10.109-23-47760-6,192.168.10.109,47760,192.168.10.165,23,6,16/03/2019 06:43:26 PM,551963,10,8,5.0,15.0,2.0,0.0,0.5,0.7071067811865476,8.0,0.0,1.875,2.5319388392523003,36.23431280719903,32.61088152647913,32468.41176470588,50393.644527433746,149732.0,334.0,459060.0,51006.666666666664,60218.47312909885,149732.0,1033.0,551963.0,78851.85714285714,63307.02501152241,152749.0,1125.0,0,1,0,0,320,256,18.117156403599516,14.493725122879614,0.0,8.0,1.1052631578947367,1.7917941611104422,3.2105263157894735,0,0,0,1,1,0,0,0,0.0,1.1666666666666667,0.5,1.875,0,0,0,0,0,0,10,5,8,15,-1,227,4,0,0,0,0,0,0,0,0,0,No Label
192.168.10.166-192.168.10.109-23-42172-6,192.168.10.109,42172,192.168.10.166,23,6,16/03/2019 06:43:34 PM,69787846,125,82,199.0,1097.0,83.0,0.0,1.592,8.039314687531599,293.0,0.0,13.378048780487811,38.94587578409535,18.57056886381047,2.9661325268586167,338775.95145631063,3309962.9558362067,4.7297421E7,40.0,6.9774736E7,562699.4838709676,4258337.925170176,4.7297421E7,40.0,6.9787846E7,861578.3456790124,5255981.968634223,4.7301325E7,320.0,0,0,0,0,4000,2640,1.7911428302286332,1.1749896966299833,0.0,293.0,6.230769230769232,25.800322347246954,665.6566332218506,0,1,0,0,0,0,0,0,0.0,6.260869565217392,1.592,13.378048780487806,0,0,0,0,0,0,125,199,82,1097,-1,227,57,0,2.1945035E7,0.0,2.1945035E7,2.1945035E7,4.7297421E7,0.0,4.7297421E7,4.7297421E7,No Label
192.168.10.150-192.168.10.109-23-34184-6,192.168.10.109,34184,192.168.10.150,23,6,16/03/2019 06:47:47 PM,61545618,94,64,185.0,1140.0,83.0,0.0,1.9680851063829783,9.24860015872158,295.0,0.0,17.8125,46.518770746291565,21.52874636826297,2.567201453724943,392010.30573248403,2628213.930269163,2.5253552E7,101.0,6.1540022E7,661720.6666666667,3395961.934456205,2.5253552E7,220.0,6.1545618E7,976914.5714285716,4099414.7852130723,2.5255394E7,427.0,0,0,0,0,3008,2064,1.5273223838616747,1.039879069863268,0.0,295.0,8.333333333333332,31.21133895437514,974.147679324895,0,1,0,0,0,0,0,0,0.0,8.386075949367088,1.9680851063829787,17.8125,0,0,0,0,0,0,94,185,64,1140,-1,227,42,0,7676339.5,1.0067443403745187E7,1.4795097E7,557582.0,2.3095828E7,3051482.544657924,2.5253552E7,2.0938104E7,No Label
192.168.10.151-192.168.10.109-23-43302-6,192.168.10.109,43302,192.168.10.151,23,6,16/03/2019 06:48:53 PM,37656549,102,68,190.0,1149.0,83.0,0.0,1.8627450980392155,8.88322394389289,293.0,0.0,16.89705882352941,42.26326152585078,35.55822388291609,4.51448697542624,222819.8165680473,1490276.7518896472,1.871718E7,111.0,3.7653727E7,372809.1782178217,1917004.258105127,1.871718E7,202.0,3.7656549E7,562038.0447761193,2337333.717458333,1.871861E7,397.0,0,0,0,0,3264,2192,2.708692185255744,1.805794790170496,0.0,293.0,7.830409356725147,28.38061495326623,805.4593051255588,0,1,0,0,0,0,0,0,0.0,7.876470588235295,1.8627450980392157,16.897058823529413,0,0,0,0,0,0,102,190,68,1149,-1,227,47,0,1.7654604E7,0.0,1.7654604E7,1.7654604E7,1.871718E7,0.0,1.871718E7,1.871718E7,No Label
192.168.10.150-66.85.157.95-47174-443-6,192.168.10.150,47174,66.85.157.95,443,6,16/03/2019 06:48:05 PM,119961856,32,33,3649.0,3649.0,1420.0,0.0,114.03125,368.69661313920767,1420.0,0.0,110.57575757575752,356.364896410883,60.836004404600075,0.541838899191423,1874404.0,2478080.761017726,5273881.0,0.0,1.19775067E8,3863711.8387096776,2244655.2458077553,5274142.0,0.0,1.19961569E8,3748799.03125,2286605.1603829567,5274199.0,30.0,0,0,0,0,640,692,0.2667514580634698,0.2750874411279532,0.0,1420.0,110.57575757575755,357.13673574507567,127546.64801864802,0,1,0,0,0,0,0,0,1.0,112.27692307692308,114.03125,110.57575757575758,0,0,0,0,0,0,32,3649,33,3649,-1,181,4,0,267068.22727272724,1004800.9167202716,4599782.0,133.0,5185730.363636364,43344.451744189,5273881.0,5010124.0,No Label
192.168.10.153-192.168.10.109-23-51006-6,192.168.10.109,51006,192.168.10.153,23,6,16/03/2019 06:49:39 PM,46839428,93,64,183.0,1065.0,83.0,0.0,1.9677419354838719,9.298727838308833,293.0,0.0,16.640625000000007,41.01465753772067,26.644219481074792,3.3518769699749535,300252.74358974356,2444112.2144427686,3.0253844E7,105.0,4.6823207E7,508947.9021739131,3173014.2577790236,3.0253844E7,105.0,4.6839428E7,743482.984126984,3822291.984099029,3.026264E7,327.0,0,0,0,0,2976,2064,1.9855067401762465,1.3663702297987073,0.0,293.0,7.898734177215192,27.894064814771458,778.0788518906711,0,1,0,0,0,0,0,0,0.0,7.949044585987261,1.967741935483871,16.640625,0,0,0,0,0,0,93,183,64,1065,-1,227,41,0,1.5805509E7,0.0,1.5805509E7,1.5805509E7,3.0253844E7,0.0,3.0253844E7,3.0253844E7,No Label
192.168.10.151-66.85.157.95-38162-443-6,192.168.10.151,38162,66.85.157.95,443,6,16/03/2019 06:49:15 PM,115520274,32,31,3692.0,3655.0,1420.0,0.0,115.37499999999999,368.73180654954393,1420.0,0.0,117.9032258064516,371.90844346771775,63.5992258813375,0.5453588172756585,1863230.225806451,2476170.221041988,5249878.0,0.0,1.15338259E8,3720589.0,2324657.386628447,5250203.0,0.0,1.15520095E8,3850669.8333333335,2233627.4244030304,5249976.0,50.0,0,0,0,0,676,664,0.2770076532193821,0.2683511640562764,0.0,1420.0,114.79687500000001,364.66602157545015,132981.30729166666,0,1,0,0,0,0,0,0,0.0,116.61904761904762,115.375,117.90322580645162,0,0,0,0,0,0,32,3692,31,3655,-1,181,5,0,78565.68181818184,256633.71003090622,992161.0,98.0,5172347.727272728,52496.904053098304,5249878.0,5004537.0,No Label
192.168.10.150-66.85.157.95-47174-443-6,192.168.10.150,47174,66.85.157.95,443,6,16/03/2019 06:50:11 PM,115503388,24,25,37.0,37.0,37.0,0.0,1.5416666666666667,7.552593373581466,37.0,0.0,1.48,7.400000000000001,0.6406738475931113,0.4242299801630061,2406320.5833333335,2589189.1844651503,5249979.0,81.0,1.15503126E8,5021875.043478261,823420.0589049022,5250250.0,1245178.0,1.15503187E8,4812632.791666667,1271964.0974151127,5250315.0,187540.0,0,0,0,0,480,500,0.20778611273290096,0.21644386743010516,0.0,37.0,1.4800000000000004,7.324100557719825,53.64244897959185,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,181,1,0,65384.45454545454,305314.2546532183,1432342.0,81.0,5184760.409090908,43331.47232303358,5249979.0,5002579.0,No Label
192.168.10.152-192.168.10.109-23-52204-6,192.168.10.109,52204,192.168.10.152,23,6,16/03/2019 06:50:29 PM,15433642,84,58,180.0,1134.0,83.0,0.0,2.1428571428571432,9.77227804784566,293.0,0.0,19.55172413793104,45.96954461448271,85.13868599517858,9.200679917287182,109458.45390070921,369291.76737515273,3509894.0,96.0,1.5432463E7,185933.28915662644,467568.93079371075,3510210.0,218.0,1.5432748E7,270749.96491228073,551835.2540455986,3510189.0,380.0,0,0,0,0,2688,1872,5.442655725719178,3.7580241915680044,0.0,293.0,9.18881118881119,31.271404173770485,977.90071899931,0,1,0,0,0,0,0,0,0.0,9.253521126760564,2.142857142857143,19.551724137931036,0,0,0,0,0,0,84,180,58,1134,-1,227,38,0,0,0,0,0,0,0,0,0,No Label
192.168.10.152-192.168.10.109-23-52204-6,192.168.10.109,52204,192.168.10.152,23,6,16/03/2019 06:52:31 PM,1656839,10,7,7.0,15.0,2.0,0.0,0.7,0.8232726023485646,10.0,0.0,2.142857142857143,3.484660262185848,13.278296804940009,10.260502076544553,103552.4375,253259.09718230425,1022643.0,700.0,1569532.0,174392.44444444444,326555.12495561567,1022643.0,1562.0,1656839.0,276139.8333333334,372385.5541459237,1024809.0,34370.0,0,1,0,0,320,224,6.035589456790913,4.224912619753639,0.0,10.0,1.277777777777778,2.2701530281551134,5.15359477124183,0,0,0,1,1,0,0,0,0.0,1.3529411764705883,0.7,2.142857142857143,0,0,0,0,0,0,10,7,7,15,-1,227,5,0,0,0,0,0,0,0,0,0,No Label
192.168.10.152-66.85.157.95-42566-443-6,192.168.10.152,42566,66.85.157.95,443,6,16/03/2019 06:50:49 PM,116733499,31,30,3601.0,3601.0,1420.0,0.0,116.1612903225806,371.485674625029,1420.0,0.0,120.03333333333332,377.1995249323565,61.69608605666828,0.5225577963700034,1945558.3166666664,2494092.8394829826,5226390.0,0.0,1.16551764E8,3885058.8,2223517.3751053857,5226888.0,0.0,1.16733155E8,4025281.2068965514,2107054.1777479523,5226749.0,31.0,0,0,0,0,620,632,0.2655621588109854,0.2569956375590181,0.0,1420.0,116.1612903225807,368.42812736594,135739.28503437332,0,1,0,0,0,0,0,0,0.0,118.06557377049181,116.16129032258064,120.03333333333333,0,0,0,0,0,0,31,3601,30,3601,-1,170,4,0,124696.5909090909,444585.6386337689,1979783.0,205.0,5181355.909090909,42132.294703039006,5226390.0,5002851.0,No Label
192.168.10.151-66.85.157.95-38162-443-6,192.168.10.151,38162,66.85.157.95,443,6,16/03/2019 06:51:15 PM,115011216,24,25,37.0,37.0,37.0,0.0,1.541666666666667,7.552593373581466,37.0,0.0,1.4800000000000002,7.400000000000001,0.6434155082752973,0.4260454041282374,2396067.0000000005,2589194.0878244624,5217923.0,92.0,1.15010979E8,5000477.347826087,889520.0795973998,5218205.0,920159.0,1.15010908E8,4792121.166666667,1311659.5456239753,5218231.0,179920.0,0,0,0,0,480,500,0.20867529998117748,0.21737010414705987,0.0,37.0,1.4800000000000002,7.324100557719825,53.64244897959184,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,181,1,0,50245.090909090904,234445.7358969812,1099909.0,92.0,5177523.454545454,39322.212864301684,5217923.0,5005977.0,No Label
192.168.10.150-66.85.157.95-47174-443-6,192.168.10.150,47174,66.85.157.95,443,6,16/03/2019 06:52:11 PM,115533164,24,25,37.0,37.0,37.0,0.0,1.5416666666666667,7.552593373581466,37.0,0.0,1.48,7.400000000000001,0.6405087287317779,0.4241206447007718,2406940.9166666665,2595610.662795729,5324855.0,160.0,1.15532815E8,5023165.869565218,860453.1651002966,5325168.0,1079135.0,1.15532887E8,4813870.291666667,1296039.0187163241,5325137.0,183631.0,0,0,0,0,480,500,0.20773256066976578,0.216388084031006,0.0,37.0,1.4800000000000004,7.3241005577198255,53.642448979591855,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,181,1,0,57663.72727272728,269109.54389884777,1262525.0,160.0,5193831.136363636,54964.890338586985,5324855.0,5003947.0,No Label
192.168.10.152-66.85.157.95-42566-443-6,192.168.10.152,42566,66.85.157.95,443,6,16/03/2019 06:52:50 PM,115693579,24,25,37.0,37.0,37.0,0.0,1.5416666666666667,7.552593373581466,37.0,0.0,1.48,7.400000000000001,0.6396206309772818,0.42353257997144333,2410282.8958333326,2583365.135253228,5207489.0,175.0,1.15693264E8,5030141.9130434785,752089.7266004848,5207738.0,1580240.0,1.15693356E8,4820556.500000001,1231395.7281428399,5207702.0,181489.0,0,0,0,0,480,500,0.20744452896560492,0.21608805100583844,0.0,37.0,1.4800000000000004,7.324100557719825,53.64244897959185,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,170,1,0,80329.4090909091,375500.9770740771,1761528.0,175.0,5178459.500000001,38760.59779964324,5207489.0,5008371.0,No Label
192.168.10.151-66.85.157.95-38162-443-6,192.168.10.151,38162,66.85.157.95,443,6,16/03/2019 06:53:16 PM,115701809,24,25,37.0,37.0,37.0,0.0,1.5416666666666667,7.552593373581466,37.0,0.0,1.48,7.400000000000001,0.6395751340413355,0.4235024536219654,2410454.3541666665,2585171.783306664,5229242.0,204.0,1.15701496E8,5030499.826086957,767246.4050693145,5229583.0,1511402.0,1.15701538E8,4820897.416666667,1238434.018959565,5229464.0,192967.0,0,0,0,0,480,500,0.2074297732025953,0.2160726804193701,0.0,37.0,1.4800000000000004,7.324100557719825,53.64244897959185,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,181,1,0,319385.4761904762,1462360.9729983776,6701652.0,204.0,5190211.57142857,13612.30095013847,5229242.0,5179782.0,No Label
192.168.10.150-66.85.157.95-47174-443-6,192.168.10.150,47174,66.85.157.95,443,6,16/03/2019 06:54:12 PM,115882094,24,25,37.0,37.0,37.0,0.0,1.5416666666666663,7.552593373581466,37.0,0.0,1.4799999999999995,7.400000000000001,0.6385801071216404,0.42284358444541054,2414210.2916666665,2585744.0324485064,5252042.0,135.0,1.1588178E8,5038338.2608695645,741369.8086431395,5252386.0,1638172.0,1.15881769E8,4828407.041666665,1225565.33609963,5252305.0,186228.0,0,0,0,0,480,500,0.20710706176918067,0.21573652267622986,0.0,37.0,1.4800000000000004,7.3241005577198255,53.642448979591855,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,181,1,0,83177.5,388836.0291830392,1824080.0,135.0,5184175.636363638,36499.661127644584,5252042.0,5034243.0,No Label
