Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.145-192.168.10.109-23-60794-6,192.168.10.109,60794,192.168.10.145,23,6,16/03/2019 06:29:41 PM,119998847,108,67,189.0,969.0,83.0,0.0,1.7499999999999996,8.344369639037883,293.0,0.0,14.462686567164182,38.947255848487494,9.650092721307564,1.4583473456207459,689648.5459770123,6264685.719193585,8.2020056E7,1.0,1.19997753E8,1121474.3271028034,7972723.609672254,8.2020056E7,1.0,1.19995269E8,1818110.1363636365,1.0125515916325536E7,8.2078846E7,194.0,0,0,0,0,3456,2160,0.9000086475830888,0.558338698037657,0.0,293.0,6.579545454545454,25.555640849346336,653.090779220779,0,1,0,0,0,0,0,0,0.0,6.617142857142857,1.75,14.462686567164178,0,0,0,0,0,0,108,189,67,969,-1,227,52,0,6003465.333333333,4673251.676655809,9083503.0,626220.0,3.2287313E7,4.306987746712692E7,8.2020056E7,7349876.0,No Label
192.168.10.145-192.168.10.109-23-60794-6,192.168.10.109,60794,192.168.10.145,23,6,16/03/2019 06:31:41 PM,52919761,68,37,47.0,434.0,3.0,0.0,0.6911764705882354,0.9659478824848209,173.0,1.0,11.729729729729732,32.47447600180165,9.089232281302253,1.9841359449828202,508843.8557692308,2505733.666079835,2.0063874E7,237.0,5.2918182E7,789823.6119402985,3094077.066012597,2.0063874E7,1251.0,3.2854992E7,912638.6666666666,2625839.9726228556,1.5531335E7,1360.0,0,1,0,0,2176,1184,1.284964231036493,0.6991717139463272,0.0,173.0,4.830188679245281,19.913848590323934,396.56136567834653,0,0,0,1,1,0,0,0,0.0,4.876190476190477,0.6911764705882353,11.72972972972973,0,0,0,0,0,0,68,47,37,434,-1,227,30,0,1.7247824E7,0.0,1.7247824E7,1.7247824E7,1.5528425E7,0.0,1.5528425E7,1.5528425E7,No Label
192.168.10.145-66.85.157.95-37974-443-6,192.168.10.145,37974,66.85.157.95,443,6,16/03/2019 06:32:18 PM,116136440,31,30,3647.0,3647.0,1420.0,0.0,117.64516129032255,374.0774027200874,1420.0,0.0,121.56666666666663,379.82370532450545,62.80543815532834,0.5252442730292061,1935607.3333333335,2495735.948904897,5244079.0,0.0,1.15955124E8,3865170.7999999993,2244839.3831290775,5244402.0,0.0,1.16136194E8,4004696.344827587,2131869.5915285633,5244342.0,66.0,0,0,0,0,620,632,0.2669274174410719,0.2583168555881341,0.0,1420.0,117.64516129032255,370.9985240028168,137639.90481226862,0,1,0,0,0,0,0,0,0.0,119.57377049180327,117.64516129032258,121.56666666666666,0,0,0,0,0,0,31,3647,30,3647,-1,171,4,0,96925.36363636363,317388.30521506316,1236348.0,49.0,5181992.545454545,42422.77078771925,5244079.0,5006035.0,No Label
192.168.10.145-66.85.157.95-37974-443-6,192.168.10.145,37974,66.85.157.95,443,6,16/03/2019 06:34:19 PM,115440473,24,25,37.0,37.0,37.0,0.0,1.5416666666666667,7.552593373581465,37.0,0.0,1.48,7.3999999999999995,0.6410230145193532,0.424461185289842,2405009.854166668,2583538.1065375307,5295729.0,85.0,1.15440287E8,5019142.9130434785,792313.793925276,5296029.0,1390018.0,1.15440143E8,4810005.958333334,1253340.9674241114,5295928.0,182281.0,0,0,0,0,480,500,0.20789935606033078,0.21656182922951123,0.0,37.0,1.4800000000000002,7.324100557719825,53.64244897959185,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,171,1,0,71684.59090909091,335113.7786651059,1572061.0,85.0,5175594.636363637,58537.37630782875,5295729.0,5005177.0,No Label
192.168.10.145-66.85.157.95-37974-443-6,192.168.10.145,37974,66.85.157.95,443,6,16/03/2019 06:36:20 PM,115861902,24,25,37.0,37.0,37.0,0.0,1.5416666666666667,7.552593373581466,37.0,0.0,1.48,7.400000000000001,0.6386913965903995,0.4229172761206699,2413789.6249999995,2583165.7921085786,5219409.0,87.0,1.15861688E8,5037464.695652175,723748.3082971866,5227233.0,1717849.0,1.15861662E8,4827569.25,1215963.9814606297,5219628.0,182120.0,0,0,0,0,480,500,0.20714315565094038,0.21577412046972955,0.0,37.0,1.4800000000000004,7.324100557719825,53.64244897959185,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,171,1,0,86571.81818181819,404956.02402137866,1899647.0,87.0,5179867.363636363,31218.29246351661,5219409.0,5045398.0,No Label
192.168.10.135-192.168.10.109-23-42750-6,192.168.10.109,42750,192.168.10.135,23,6,16/03/2019 06:38:41 PM,20614588,83,56,178.0,1052.0,83.0,0.0,2.144578313253012,9.83167173106023,293.0,0.0,18.78571428571428,48.72920135745163,59.6664847243127,6.742797867219077,149381.07246376807,497796.478042657,4099371.0,171.0,2.0613425E7,251383.2317073171,628510.3808919513,4116522.0,320.0,1.7700999E7,321836.34545454546,653517.474784955,4099371.0,292.0,0,0,0,0,2656,1808,4.026274985461751,2.716522881757326,0.0,293.0,8.78571428571429,32.615436543529114,1063.7667009249744,0,1,0,0,0,0,0,0,0.0,8.848920863309353,2.144578313253012,18.785714285714285,0,0,0,0,0,0,83,178,56,1052,-1,227,37,0,0,0,0,0,0,0,0,0,No Label
192.168.10.145-66.85.157.95-37974-443-6,192.168.10.145,37974,66.85.157.95,443,6,16/03/2019 06:38:21 PM,115501098,24,25,37.0,37.0,37.0,0.0,1.5416666666666667,7.552593373581466,37.0,0.0,1.48,7.400000000000001,0.6406865500101133,0.4242383912229129,2406272.8750000005,2583927.780804285,5204436.0,81.0,1.15500791E8,5021773.521739131,786581.8055328137,5204753.0,1413593.0,1.15500779E8,4812532.458333334,1249911.8221945646,5204716.0,184856.0,0,0,0,0,480,500,0.20779023243571243,0.21644815878720045,0.0,37.0,1.4800000000000004,7.3241005577198255,53.64244897959186,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,171,1,0,72867.86363636363,340667.8396278328,1598111.0,81.0,5177167.545454545,39723.62906349354,5204436.0,5001749.0,No Label
192.168.10.135-66.85.157.95-37666-443-6,192.168.10.135,37666,66.85.157.95,443,6,16/03/2019 06:39:03 PM,116335678,31,30,3653.0,3653.0,1420.0,0.0,117.83870967741943,374.42757170327735,1420.0,0.0,121.76666666666668,380.1783323228931,62.80102652601552,0.5243447328342385,1938927.966666667,2499725.8714035293,5357328.0,0.0,1.16142451E8,3871415.033333333,2248648.720312965,5357616.0,0.0,1.16335456E8,4011567.4482758627,2134872.8533851607,5357667.0,1.0,0,0,0,0,644,632,0.26647027406330154,0.25787445877093695,0.0,1420.0,117.83870967741936,371.34581088775144,137897.71126388165,0,1,0,0,0,0,0,0,0.0,119.77049180327869,117.83870967741936,121.76666666666667,0,0,0,0,0,0,31,3653,30,3653,-1,171,4,0,95892.63636363637,309429.5225582449,1059596.0,199.0,5192082.636363635,56583.01842640069,5357328.0,5005148.0,No Label
192.168.10.145-66.85.157.95-37974-443-6,192.168.10.145,37974,66.85.157.95,443,6,16/03/2019 06:40:22 PM,115630673,24,25,37.0,37.0,37.0,0.0,1.5416666666666663,7.552593373581467,37.0,0.0,1.4799999999999995,7.400000000000001,0.6399686007189459,0.4237629923679507,2408972.3541666665,2583312.7317283205,5212403.0,23.0,1.1563033E8,5027405.652173914,761530.2986275613,5212605.0,1534244.0,1.15630403E8,4817933.458333334,1236289.3963379487,5212689.0,182547.0,0,0,0,0,480,500,0.20755738401695542,0.21620560835099523,0.0,37.0,1.4800000000000002,7.324100557719825,53.64244897959185,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,171,1,0,78241.63636363635,365983.4069477735,1716828.0,23.0,5177685.772727274,40054.749884117504,5212403.0,5002691.0,No Label
192.168.10.135-66.85.157.95-37666-443-6,192.168.10.135,37666,66.85.157.95,443,6,16/03/2019 06:41:05 PM,115667842,24,25,37.0,37.0,37.0,0.0,1.5416666666666667,7.552593373581465,37.0,0.0,1.48,7.3999999999999995,0.6397629515730051,0.4236268192848277,2409746.708333333,2587053.3598671756,5219561.0,156.0,1.15667488E8,5029021.217391304,783554.9135363171,5219766.0,1434929.0,1.15667643E8,4819485.125000001,1249192.9078931173,5219796.0,184840.0,0,0,0,0,480,500,0.2074906869966503,0.2161361322881774,0.0,37.0,1.4800000000000004,7.324100557719825,53.64244897959185,0,0,0,0,1,0,0,0,1.0,1.510204081632653,1.5416666666666667,1.48,0,0,0,0,0,0,24,37,25,37,-1,171,1,0,73862.40909090909,345269.6832788702,1619709.0,156.0,5183757.727272728,39250.04251521132,5219561.0,5014636.0,No Label
